"","Park Code","Park Name","State","Acres","Latitude","Longitude","address","activities"
"1","ACAD","Acadia National Park","ME",47390,44.35,-68.21,"25 Visitor Center Road  Hulls Cove Visitor Center Bar Harbor ME, 04609","Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Boating, Camping, Group Camping, Climbing, Rock Climbing, Compass and GPS, Geocaching, Fishing, Freshwater Fishing, Fly Fishing, Saltwater Fishing, Food, Picnicking, Guided Tours, Bus/Shuttle Guided Tour, Boat Tour, Hands-On, Citizen Science, Hiking, Front-Country Hiking, Horse Trekking, Horseback Riding, Ice Skating, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, Skiing, Cross-Country Skiing, Snow Play, Snowmobiling, Snowshoeing, Swimming, Freshwater Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
"2","ARCH","Arches National Park","UT",76519,38.68,-109.57,"5 miles north of Moab, Utah, on US 191   Moab UT, 84532","Arts and Culture, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Canyoneering, Climbing, Rock Climbing, Guided Tours, Hiking, Horse Trekking, Horseback Riding, Junior Ranger Program, Shopping, Bookstore and Park Store"
"3","BADL","Badlands National Park","SD",242756,43.75,-102.5,"25216 Ben Reifel Road   Interior SD, 57750","Auto and ATV, Scenic Driving, Astronomy, Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Compass and GPS, Food, Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"4","BIBE","Big Bend National Park","TX",801163,29.25,-103.25,"1 Panther Junction   Big Bend National Park TX, 79834","Auto and ATV, Scenic Driving, Astronomy, Stargazing, Biking, Camping, Backcountry Camping, Food, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hiking, Backcountry Hiking, Front-Country Hiking, Paddling, Canoeing, Canoe or Kayak Camping, Kayaking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store"
"5","BISC","Biscayne National Park","FL",172924,25.65,-80.08,"9700 SW 328th Street  Sir Lancelot Jones Way Homestead FL, 33033","Boating, Motorized Boating, Sailing, Boat Tour, Camping, Fishing, Guided Tours, Boat Tour, Paddling, Canoeing, Kayaking, Stand Up Paddleboarding, Junior Ranger Program, SCUBA Diving, Snorkeling, Swimming, Saltwater Swimming, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"6","BLCA","Black Canyon of the Gunnison National Park","CO",32950,38.57,-107.72,"South Rim Visitor Center  9800 Highway 347 Montrose CO, 81401","Camping, Climbing, Fishing, Hiking, Backcountry Hiking, Horse Trekking, Horseback Riding, Paddling, Kayaking, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching"
"7","BRCA","Bryce Canyon National Park","UT",35835,37.57,-112.18,"Highway 63  Bryce Canyon National Park Bryce UT, 84764","Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, RV Camping, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Auto, Hands-On, Citizen Science, Hiking, Backcountry Hiking, Front-Country Hiking, Horse Trekking, Junior Ranger Program, Skiing, Cross-Country Skiing, Snowshoeing, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store"
"8","CANY","Canyonlands National Park","UT",337598,38.2,-109.93,"Island in the Sky - 33 miles from Moab on UT 313 The Maze - 68 miles from Hanksville off UT 24 - unpaved roads The Needles - 49 miles from Monticello on UT 211 Moab UT, 84532","Astronomy, Stargazing, Biking, Boating, Camping, Backcountry Camping, Car or Front Country Camping, Group Camping, Climbing, Rock Climbing, Guided Tours, Boat Tour, Hiking, Horse Trekking, Horseback Riding, Paddling, Canoe or Kayak Camping, Whitewater Rafting, Junior Ranger Program, Park Film, Shopping, Bookstore and Park Store"
"9","CARE","Capitol Reef National Park","UT",241904,38.2,-111.17,"52 West Headquarters Drive   Torrey UT, 84775","Arts and Culture, Cultural Demonstrations, Astronomy, Stargazing, Biking, Road Biking, Camping, Backcountry Camping, Car or Front Country Camping, Horse Camping (see also Horse/Stock Use), Group Camping, RV Camping, Canyoneering, Climbing, Rock Climbing, Fishing, Food, Picnicking, Guided Tours, Self-Guided Tours - Walking, Self-Guided Tours - Auto, Hands-On, Citizen Science, Arts and Crafts, Volunteer Vacation, Hiking, Backcountry Hiking, Front-Country Hiking, Off-Trail Permitted Hiking, Horse Trekking, Horse Camping (see also camping), Horseback Riding, Living History, First Person Interpretation, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Museum Exhibits, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
"10","CAVE","Carlsbad Caverns National Park","NM",46766,32.17,-104.44,"727 Carlsbad Caverns Highway   Carlsbad NM, 88220","Astronomy, Stargazing, Camping, Caving, Food, Dining, Picnicking, Guided Tours, Self-Guided Tours - Walking, Hiking, Junior Ranger Program, Wildlife Watching, Birdwatching, Park Film, Shopping, Bookstore and Park Store, Gift Shop and Souvenirs"
